symbol, X-Map, name

ES=F, "/ES → ES=F", "S&P 500 E-mini"
MES=F, "/MES → MES=F", "S&P 500 Micro E-mini"
NQ=F, "/NQ → NQ=F", "Nasdaq 100 E-mini"
MNQ=F, "/MNQ → MNQ=F", "Nasdaq 100 Micro E-mini"
YM=F, "/YM → YM=F", "Dow E-mini"
MYM=F, "/MYM → MYM=F", "Dow Micro E-mini"
RTY=F, "/RTY → RTY=F", "Russell 2000 E-mini"
M2K=F, "/M2K → M2K=F", "Russell 2000 Micro E-mini"
GC=F, "/GC → GC=F", "Gold"
MGC=F, "/MGC → MGC=F", "Micro Gold"
PL=F, "/PL → PL=F", "Platinum"
SI=F, "/SI → SI=F", "Silver"
SIL=F, "/SIL → SIL=F", "Micro Silver"
HG=F, "/HG → HG=F", "Copper"
MHG=F, "/MHG → MHG=F", "Micro Copper"
PA=F, "/PA → PA=F", "Palladium"
ZS=F, "/ZS → ZS=F", "Soybeans"
ZL=F, "/ZL → ZL=F", "Soybean Oil"
ZM=F, "/ZM → ZM=F", "Soybean Meal"
MBT=F, "/MBT → MBT=F", "Micro Bitcoin"
BTC=F, "/BTC → BTC=F", "Bitcoin"
ETH=F, "/ETH → ETH=F", "Ether"
MET=F, "/MET → MET=F", "Micro Ether"
XRP=F, "/XRP → XRP=F", "XRP"
MXP=F, "/MXP → MXP=F", "Micro XRP"
6E=F, "/6E → 6E=F", "Euro"
M6E=F, "/M6E → M6E=F", "Micro Euro"
6J=F, "/6J → 6J=F", "Japanese Yen"
6B=F, "/6B → 6B=F", "British Pound"
M6B=F, "/M6B → M6B=F", "Micro British Pound"
6C=F, "/6C → 6C=F", "Canadian Dollar"
MCD=F, "/MCD → MCD=F", "Micro Canadian Dollar"
6A=F, "/6A → 6A=F", "Austalian Dollar"
M6A=F, "/M6A → M6A=F", "Micro Austalian Dollar"
