symbol,name

IGV,iShares Expanded Tech-Software Sector ETF
QQQ,Invesco QQQ Trust
SMH,VanEck Semiconductor ETF
CIBR,First Trust NASDAQ Cybersecurity ETF
XLK,Technology Select Sector SPDR Fund

RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF
ITB,iShares U.S. Home Construction ETF
XRT,SPDR S&P Retail ETF
IBUY,Amplify Online Retail ETF
PEJ,Invesco Dynamic Leisure & Entertainment ETF
JETS,U.S. Global Jets ETF

USO,United States Oil Fund
UNG,United States Natural Gas Fund
XOP,SPDR S&P Oil & Gas Exploration & Production ETF
XLE,Energy Select Sector SPDR Fund

IYT,iShares U.S. Transportation ETF
ITA,iShares U.S. Aerospace & Defense ETF
XLI,Industrial Select Sector SPDR Fund

KBWB,Invesco KBW Bank ETF
KCE,SPDR S&P Capital Markets ETF
KIE,SPDR S&P Insurance ETF
XLF,Financial Select Sector SPDR Fund

IHE,iShares U.S. Pharmaceuticals ETF
IBB,iShares Biotechnology ETF
XLV,Health Care Select Sector SPDR Fund

XLP,Consumer Staples Select Sector SPDR Fund
XLC,Communication Services Select Sector SPDR Fund
XLRE,Real Estate Select Sector SPDR Fund

XLB,Materials Select Sector SPDR Fund
GLD,SPDR Gold Shares

XLU,Utilities Select Sector SPDR Fund

SPY,SPDR S&P 500 ETF Trust
IWM,iShares Russell 2000 ETF
