symbol,name,market_cap,sector,industry,sub_industry
A,"Agilent Technologies, Inc.",39233622016,Healthcare,Diagnostics & Research,
AA,Alcoa Corporation,14048798720,Basic Materials,Aluminum,
AAL,American Airlines Group Inc.,10191734784,Industrials,Airlines,
AAMI,Acadian Asset Management Inc.,1732580352,Financial Services,Asset Management,
AAOI,"Applied Optoelectronics, Inc.",2537963264,Technology,Communication Equipment,
AAON,"AAON, Inc.",6185412096,Industrials,Building Products & Equipment,
AAP,"Advance Auto Parts, Inc.",2475917568,Consumer Cyclical,Auto Parts,
AAPL,Apple Inc.,4057362333696,Technology,Consumer Electronics,
AAT,"American Assets Trust, Inc.",1461622912,Real Estate,REIT - Diversified,
AB,AllianceBernstein Holding L.P.,4329745920,Financial Services,Asset Management,
ABBV,AbbVie Inc.,406463086592,Healthcare,Drug Manufacturers - General,
ABCB,Ameris Bancorp,5212600320,Financial Services,Banks - Regional,
ABCL,AbCellera Biologics Inc.,1071619392,Healthcare,Biotechnology,
ABEV,Ambev S.A.,37889912832,Consumer Defensive,Beverages - Brewers,
ABG,"Asbury Automotive Group, Inc.",4747258368,Consumer Cyclical,Auto & Truck Dealerships,
ABM,ABM Industries Incorporated,2612850176,Industrials,Specialty Business Services,
ABNB,"Airbnb, Inc.",83766083584,Consumer Cyclical,Travel Services,
ABR,"Arbor Realty Trust, Inc.",1688718592,Real Estate,REIT - Mortgage,
ABT,Abbott Laboratories,217278889984,Healthcare,Medical Devices,
ABTC,American Bitcoin Corp,1753173376,Financial Services,Capital Markets,
ABVX,ABIVAX Société Anonyme,11228963840,Healthcare,Biotechnology,
ACA,"Arcosa, Inc.",5408685056,Industrials,Engineering & Construction,
ACAD,ACADIA Pharmaceuticals Inc.,4672802304,Healthcare,Biotechnology,
ACGL,Arch Capital Group Ltd.,35780628480,Financial Services,Insurance - Diversified,
ACHC,"Acadia Healthcare Company, Inc.",1356571392,Healthcare,Medical Care Facilities,
ACHR,Archer Aviation Inc.,5792121344,Industrials,Aerospace & Defense,
ACI,"Albertsons Companies, Inc.",9746926592,Consumer Defensive,Grocery Stores,
ACIW,"ACI Worldwide, Inc.",5028549632,Technology,Software - Infrastructure,
ACLS,"Axcelis Technologies, Inc.",2595512064,Technology,Semiconductor Equipment & Materials,
ACLX,"Arcellx, Inc.",3799540992,Healthcare,Biotechnology,
ACM,AECOM,12900250624,Industrials,Engineering & Construction,
ACMR,"ACM Research, Inc.",2635281408,Technology,Semiconductor Equipment & Materials,
ACN,Accenture plc,168113438720,Technology,Information Technology Services,
ACT,"Enact Holdings, Inc.",5913500160,Financial Services,Insurance - Specialty,
ACVA,ACV Auctions Inc.,1498949248,Consumer Cyclical,Auto & Truck Dealerships,
ACWV,iShares MSCI Global Min Vol Factor ETF,6172133888,,,
AD,"Array Digital Infrastructure, Inc.",4624778752,Communication Services,Telecom Services,
ADBE,Adobe Inc.,150081961984,Technology,Software - Application,
ADC,Agree Realty Corporation,8346417664,Real Estate,REIT - Retail,
ADEA,Adeia Inc.,1855102720,Technology,Software - Application,
