symbol,name,sector,industry,industry_etf,industry_etf_name,industry_score,sector_etf,sector_etf_name,sector_score,etf_symbol_primary,etf_symbol_secondary,etf_match_source,etf_override_notes
A,"Agilent Technologies, Inc.",Healthcare,Diagnostics & Research,,,0.0,XLV,Health Care Select Sector SPDR Fund,1.0,XLV,,fuzzy,
AAL,American Airlines Group Inc.,Industrials,Airlines,JETS,U.S. Global Jets ETF,0.3333333333333333,XLI,Industrial Select Sector SPDR Fund,1.0,JETS,XLI,fuzzy,
AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management,,,0.0,XLF,Financial Select Sector SPDR Fund,1.0,XLF,,fuzzy,
AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment,XLC,Communication Services Select Sector SPDR Fund,0.5,XLK,Technology Select Sector SPDR Fund,1.0,XLC,XLK,fuzzy,
AAON,"AAON, Inc.",Industrials,Building Products & Equipment,,,0.0,XLI,Industrial Select Sector SPDR Fund,1.0,XLI,,fuzzy,
AAPL,Apple Inc.,Technology,Consumer Electronics,XLP,Consumer Staples Select Sector SPDR Fund,0.3333333333333333,XLK,Technology Select Sector SPDR Fund,1.0,XLK,QQQ,override,manual override
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,,,0.0,XLV,Health Care Select Sector SPDR Fund,1.0,XLV,,fuzzy,
ABCB,Ameris Bancorp,Financial Services,Banks - Regional,KBWB,Invesco KBW Bank ETF,1.0,XLF,Financial Select Sector SPDR Fund,1.0,KBWB,XLF,fuzzy,
ABCL,AbCellera Biologics Inc.,Healthcare,Biotechnology,IBB,iShares Biotechnology ETF,1.0,XLV,Health Care Select Sector SPDR Fund,1.0,IBB,XLV,fuzzy,
ABEV,Ambev S.A.,Consumer Defensive,Beverages - Brewers,FTXG,First Trust Nasdaq Food & Beverage ETF,0.3333333333333333,XLP,Consumer Staples Select Sector SPDR Fund,1.0,FTXG,XLP,fuzzy,
ABG,"Asbury Automotive Group, Inc.",Consumer Cyclical,Auto & Truck Dealerships,,,0.0,RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.5,RSPD,,fuzzy,
ABM,ABM Industries Incorporated,Industrials,Specialty Business Services,,,0.0,XLI,Industrial Select Sector SPDR Fund,1.0,XLI,,fuzzy,
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,,,0.0,RSPD,Invesco S&P 500 Equal Weight Consumer Discretionary ETF,0.5,RSPD,,fuzzy,
ABSI,Absci Corporation,Healthcare,Biotechnology,IBB,iShares Biotechnology ETF,1.0,XLV,Health Care Select Sector SPDR Fund,1.0,IBB,XLV,fuzzy,
ABVX,ABIVAX Société Anonyme,Healthcare,Biotechnology,IBB,iShares Biotechnology ETF,1.0,XLV,Health Care Select Sector SPDR Fund,1.0,IBB,XLV,fuzzy,
ACA,"Arcosa, Inc.",Industrials,Engineering & Construction,ITB,iShares U.S. Home Construction ETF,0.2,XLI,Industrial Select Sector SPDR Fund,1.0,ITB,XLI,fuzzy,
ACAD,ACADIA Pharmaceuticals Inc.,Healthcare,Biotechnology,IBB,iShares Biotechnology ETF,1.0,XLV,Health Care Select Sector SPDR Fund,1.0,IBB,XLV,fuzzy,
